Reference Number,Included?,Authors,Article Title,Source Title,Publication Year,Volume,Page/Article Number,DOI
166,N,Molecular microevolution and epigenetic patterns of the long non-coding gene H19 show its potential function in pig domestication and breed divergence,BMC EVOLUTIONARY BIOLOGY,"Background: The domestic pig Sus scrofa domesticus originated from the wild boar S. scrofa about 10,000 years ago. During domestication, drastic morphological, physiological, and behavioral changes developed between domestic pigs and wild boars through artificial and natural selection. The long non-coding RNA (lncRNA) H19, which is located within the imprinting gene cluster H19-IGF2, plays an important role in regulating muscle development in humans and mice. This study systematically analyzed the molecular evolution of H19 and its possible epigenetic changes during pig domestication and breeding to explore the genetic and epigenetic contributions of H19 to pig domestication. Results: The molecular evolution of H19 was initially analyzed on a large phylogenetic scale. Results showed that the gene was highly conserved within a broad range, especially in the 5' terminal sequence. The molecular evolution of the gene was then analyzed using published re-sequencing data of 30 wild boars from Tibet, 3 wild boars from Sichuan, and 15 native pigs from other regions in China. Eight polymorphic sites were identified, and the nucleotide diversity (pi) value within the H19 gene body was significantly higher (Z-test, P < 0.05) in domesticated pigs than in wild pigs. However, no significant divergence occurred between domesticated and wild pigs. Single nucleotide polymorphisms in the 3' terminal sequence were surveyed in other Chinese local breeds and foreign pig breeds. We observed a consistently higher diversity in domesticated pigs than in wild pigs. The methylation pattern of the H19 gene in pigs was subsequently analyzed using published methylated DNA immunoprecipitation data and an unpublished single-base resolution liver methylome. Analysis results showed distinct methylation levels in some tissues. Among the samples surveyed, Landrace showed the lowest methylation level, followed by the Guizhou wild boar, whereas the Enshi pig exhibited the highest methylation level in the 2 kb upstream region of the H19 gene. Liver transcriptome data suggested that Landrace harbored the highest expression of the H19 gene, followed by the Guizhou wild boar, whereas the Enshi pig harbored the lowest expression of the gene. Differential methylation sites (DMSs) among the three breeds were mainly identified in the 2 kb upstream region of the H19 gene. In the Enshi pig, we detected allele-specific methylation (ASM) regions in the 2 kb upstream region of the H19 gene. Most of the DMSs in the upstream 2 kb region of the gene were also located in the ASM region in this breed. Conclusions: Molecular analyses suggest that the H19 gene was highly conserved during large-scale evolution and exhibited genotype differentiation during domestication and breed differentiation. The drastic diversity pattern between domestic and wild pigs in the H19 gene body, which was highly conserved during large-scale evolution, suggests that this gene might have played roles in the breed differentiation of domestic pigs. Methylation analysis indicates an opposite epigenetic regulation direction between Chinese and European pig (EU) domestication, which resulted in opposite expression changes in this gene between the two domesticated groups. Our preliminary analyses on DMSs among different pig breeds and ASM imply that imprinting was associated with methylation differences. This study systematically demonstrates the genetic and epigenetic patterns of H19 during pig domestication and provide valuable cues and basis for further research on the function of H19 in pig domestication.",2016,16,87,10.1186/s12862-016-0657-5
167,N,Multigenerational exposure to silver ions and silver nanoparticles reveals heightened sensitivity and epigenetic memory in Caenorhabditis elegans,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"The effects from multigenerational exposures to engineered nanoparticles (ENPs) in their pristine and transformed states are currently unknown despite such exposures being an increasingly common scenario in natural environments. Here, we examine how exposure over 10 generations affects the sensitivity of the nematode Caenorhabditis elegans to pristine and sulfidized Ag ENPs and AgNO3. We also include populations that were initially exposed over six generations but kept unexposed for subsequent four generations to allow recovery from exposure. Toxicity of the different silver forms decreased in the order AgNO3, Ag ENPs and Ag2S ENPs. Continuous exposure to Ag ENPs and AgNO3 caused pronounced sensitization (approx. 10-fold) in the F2 generation, which was sustained until F10. This sensitization was less pronounced for Ag2S ENP exposures, indicating different toxicity mechanisms. Subtle changes in size and lifespan were also measured. In the recovery populations, the sensitivity to Ag ENPs and AgNO3 resulting from the initial multigenerational exposure persisted. Their response sensitivity for all endpoints was most closely related to the last ancestral exposed generation (F5), rather than unexposed controls. The mechanisms of transgenerational transfer of sensitivity are probably organized through the epigenome, and we encourage others to investigate such effects as a priority for mechanistic toxicology.",2016,283,20152911,10.1098 spb.2015.2911
168,N,Nonadditive changes to cytosine methylation as a consequence of hybridization and genome duplication in Senecio (Asteraceae),MOLECULAR ECOLOGY,"The merger of two or more divergent genomes within an allopolyploid nucleus can facilitate speciation and adaptive evolution in flowering plants. Widespread changes to gene expression have been shown to result from interspecific hybridisation and polyploidy in a number of plant species, and attention has now shifted to determining the epigenetic processes that drive these changes. We present here an analysis of cytosine methylation patterns in triploid F(1)Senecio (ragwort) hybrids and their allohexaploid derivatives. We observe that, in common with similar studies in Arabidopsis, Spartina and Triticum, a small but significant proportion of loci display nonadditive methylation in the hybrids, largely resulting from interspecific hybridisation. Despite this, genome duplication results in a secondary effect on methylation, with reversion to additivity at some loci and novel methylation status at others. We also observe differences in methylation state between different allopolyploid generations, predominantly in cases of additive methylation with regard to which parental methylation state is dominant. These changes to methylation state in both F-1 triploids and their allohexaploid derivatives largely mirror the overall patterns of nonadditive gene expression observed in our previous microarray analyses and may play a causative role in generating those expression changes. These similar global changes to DNA methylation resulting from hybridisation and genome duplication may serve as a source of epigenetic variation in natural populations, facilitating adaptive evolution. Our observations that methylation state can also vary between different generations of polyploid hybrids suggests that newly formed allopolyploid species may display a high degree of epigenetic diversity upon which natural selection can act.",2011,20,105-113,10.1111/j.1365-294X.2010.04926.x
169,N,The epigenetic footprint of poleward range-expanding plants in apomictic dandelions,MOLECULAR ECOLOGY,"Epigenetic modifications, such as DNA methylation variation, can generate heritable phenotypic variation independent of the underlying genetic code. However, epigenetic variation in natural plant populations is poorly documented and little understood. Here, we test whether northward range expansion of obligate apomicts of the common dandelion (Taraxacum officinale) is associated with DNA methylation variation. We characterized and compared patterns of genetic and DNA methylation variation in greenhouse-reared offspring of T.officinale that were collected along a latitudinal transect of northward range expansion in Europe. Genetic AFLP and epigenetic MS-AFLP markers revealed high levels of local diversity and modest but significant heritable differentiation between sampling locations and between the southern, central and northern regions of the transect. Patterns of genetic and epigenetic variation were significantly correlated, reflecting the genetic control over epigenetic variation and/or the accumulation of lineage-specific spontaneous epimutations, which may be selectively neutral. In addition, we identified a small component of DNA methylation differentiation along the transect that is independent of genetic variation. This epigenetic differentiation might reflect environment-specific induction or, in case the DNA methylation variation affects relevant traits and fitness, selection of heritable DNA methylation variants. Such generated epigenetic variants might contribute to the adaptive capacity of individual asexual lineages under changing environments. Our results highlight the potential of heritable DNA methylation variation to contribute to population differentiation along ecological gradients. Further studies are needed using higher resolution methods to understand the functional significance of such natural occurring epigenetic differentiation.",2015,24,4406-4418,10.1111/mec.13329
170,Y,"Hu, J., F. Perez-Jvostov, L. Blondel and R. D. H. Barrett",Genome-wide DNA methylation signatures of infection status in Trinidadian guppies (Poecilia reticulata),Molecular Ecology,2018,27,3087-3102,10.1111/mec.14771
172,Y,"Huang, C.-L., J.-H. Chen, M.-H. Tsang, J.-D. Chung, C.-T. Chang and S.-Y. Hwang",Influences of environmental and spatial factors on genetic and epigenetic variations in Rhododendron oldhamii (Ericaceae),Tree Genetics & Genomes,2015,11,823,
173,N,The methylation landscape and its role in domestication and gene regulation in the chicken,NATURE ECOLOGY & EVOLUTION,"Domestication is one of the strongest examples of artificial selection and has produced some of the most extreme within-species phenotypic variation known. In the case of the chicken, it has been hypothesized that DNA methylation may play a mechanistic role in the domestication response. By inter-crossing wild-derived red junglefowl with domestic chickens, we mapped quantitative trait loci for hypothalamic methylation (methQTL), gene expression (eQTL) and behaviour. We find large, stable methylation differences, with 6,179cisand 2,973transmethQTL identified. Over 46% of thetranseffects were genotypically controlled by five loci, mainly associated with increased methylation in the junglefowl genotype. In a third of eQTL, we find that there is a correlation between gene expression and methylation, while statistical causality analysis reveals multiple instances where methylation is driving gene expression, as well as the reverse. We also show that methylation is correlated with some aspects of behavioural variation in the inter-cross. In conclusion, our data suggest a role for methylation in the regulation of gene expression underlying the domesticated phenotype of the chicken. Quantitative trait loci mapping of a cross between red junglefowl and domestic chickens provides evidence for the role of methylation in regulating gene expression in the domestication process.",2020,4,1713-1724,10.1038/s41559-020-01310-1
174,Y,"Huang, X., S. Li, P. Ni, Y. Gao, B. Jiang, Z. Zhou and A. Zhan",Rapid response to changing environments during biological invasions: DNA methylation perspectives,Molecular Ecology,2017,26,6621-6633,10.1111/mec.14382
176,Y,"Ito, H., T. Udono, S. Hirata and M. Inoue-Murayama",Estimation of chimpanzee age based on DNA methylation,Scientific Reports,2018,8,9998,
178,N,"The relationship between genotype, developmental stability and mating performance: disentangling the epigenetic causes",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"Developmental stability (DS) may confer an advantage in competition for mates. The present study tests this hypothesis using Drosophila immigrans, and proposes a novel approach to help broadly define the epigenetic factors causing such an effect. We first estimated the magnitude of isofemale heritability in sternopleural bristle fluctuating asymmetry (FA), using replicate genetic lines extracted from nature. Positional FA (PFA) exhibited significant among-line variation, and the heritability estimate of 0.10 (0.046 s.e.m.) was statistically significant. Among individual males, there was a significant positive relationship between PFA and copulation latency (time elapsed between introduction of females and copulation) and duration, but not copulation frequency. Moreover, high-DS lines exhibited significantly shorter copulation latency and duration compared with low-DS lines. When these components of sexual performance were again contrasted between lines with among-individual differences in bristle asymmetry controlled statistically, significant line effects on copulation latency and duration disappeared. The results suggest that deficits in the developmental apparatus underlying one particular trait can compromise individual sexual performance, and weaken the hypothesis that FA is a cue of overall 'genetic quality'.",2004,271,1815-1821,10.1098 spb.2004.2786
192,Y,"Keller, T. E., J. R. Lasky and S. V. Yi",The multivariate association between genomewide DNA methylation and climate across the range of Arabidopsis thaliana,Molecular Ecology,2016,25,1823-1837,10.1111/mec.13573
194,Y,"Kesaniemi, J. E., L. Heikkinen and K. E. Knott",DNA Methylation and Potential for Epigenetic Regulation in Pygospio elegans,Plos One,2016,11,e0151863,
217,Y,"Laine, V. N., T. I. Gossmann, K. M. Schachtschneider, C. J. Garroway, O. Madsen, K. J. F. Verhoeven, V. de Jager, H.-J. Megens, W. C. Warren, P. Minx, R. P. M. A. Crooijmans, P. Corcoran, B. C. Sheldon, J. Slate, K. Zeng, K. van Oers, M. E. Visser and M. A. M. Groenen",Evolutionary signals of selection on cognition from the great tit genome and methylome,Nature Communication,2016,7,10474,
225,Y,"Lea, A. J., J. Altmann, S. C. Alberts and J. Tung",Resource base influences genome-wide DNA methylation levels in wild baboons (Papio cynocephalus),Molecular Ecology,2016,25,1681-1696,10.1111/mec.13436
231,Y,"Lele, L., D. Ning, P. Cuiping, G. Xiao and G. Weihua",Genetic and epigenetic variations associated with adaptation to heterogeneous habitat conditions in a deciduous shrub,Ecology and Evolution,2018,8,2594-2606,10.1002/ece3.3868
240,Y,"Liu, L., C. Pei, S. Liu, X. Guo, N. Du and W. Guo",Genetic and epigenetic changes during the invasion of a cosmopolitan species (Phragmites australis),Ecology and Evolution,2018,8,6615-6624,10.1002/ece3.4144
252,Y,"Marshall, H., Lonsdale, Z. N., & Mallon, E. B. ",Methylation and gene expression differences between reproductive and sterile bumblebee workers,Evolution Letters,2019,3,485-499,10.1002/evl3.129
254,Y,"Mastan, S. G., M. S. Rathore, V. D. Bhatt, J. Chikara and A. Ghosh",DNA methylation and methylation polymorphism in ecotypes of Jatropha curcas L. using methylation-sensitive AFLP markers,Molecular Biology Reports,2014,41,8261-8271,
254,Y,"Mastan, S. G., M. S. Rathore, V. D. Bhatt, J. Chikara and A. Ghosh",DNA methylation and methylation polymorphism in ecotypes of Jatropha curcas L. using methylation-sensitive AFLP markers,Molecular Biology Reports,2014,41,8261-8272,
256,Y,"Matsushima, W., Brink, K., Schroeder, J., Miska, E. A., & Gapp, K.",Mature sperm small-RNA profile in the sparrow: implications for transgenerational effects of age on fitness,Environmental Epigenetics,2019,5,doi:10.1093/eep/dvz007,
267,Y,"Medrano, M., C. M. Herrera and P. Bazaga",Epigenetic variation predicts regional and local intraspecific functional diversity in a perennial herb,Molecular Ecology,2014,23,4926-4938,10.1111/mec.12911
272,Y,"Metzger, D. C. H. and P. M. Schulte",The DNA Methylation Landscape of Stickleback Reveals Patterns of Sex Chromosome Evolution and Effects of Environmental Salinity,Genome Biology and Evolution,2018,10,775-785,10.1093/gbe/evy034
294,Y,"Paun, O., R. M. Bateman, M. F. Fay, M. Hedren, L. Civeyrel and M. W. Chase",Stable Epigenetic Effects Impact Adaptation in Allopolyploid Orchids (Dactylorhiza: Orchidaceae),Molecular Biology and Evolution,2010,27,2465-2475,10.1093/molbev/msq150
300,Y,"Pierron, F., Daffe, G., Lambert, P., Couture, P., & Baudrimont, M.",Retrotransposon methylation and activity in wild fish (A-anguilla): A matter of size,Environmental Pollution,2019,245,494-503,
303,Y,"Platt, Alexander; Gugger, Paul F.; Pellegrini, Matteo; Sork, Victoria L.",Genome-wide signature of local adaptation linked to variable CpG methylation in oak populations,Molecular Ecology,2015,24,3823-3830,10.1111/mec.13230
304,Y,"Polanowski, A. M., J. Robbins, D. Chandler and S. N. Jarman",Epigenetic estimation of age in humpback whales,Molecular Ecology Resources,2014,14,976-987,10.1111/1755-0998.12247
308,Y,"Preite, V., L. B. Snoek, C. Oplaat, A. Biere, W. H. van der Putten and K. J. F. Verhoeven",The epigenetic footprint of poleward range-expanding plants in apomictic dandelions,Molecular Ecology,2015,24,4406-4418,
311,Y,"Qiu, T., L. L. Jiang and Y. F. Yang",Genetic and epigenetic diversity and structure of Phragmites australis from local habitats of the Songnen Prairie using amplified fragment length polymorphism markers,Genetics and Molecular Research,2016,15,15038585,
314,N,"Raj, S., K. Braeutigam, E. T. Hamanishi, O. Wilkins, B. R. Thomas, W. Schroeder, S. D. Mansfield, A. L. Plant and M. M. Campbell",Clone history shapes Populus drought responses,Proceedings of the National Academy of Sciences,2011,108,12521-12526,
331,Y,"Robertson, M., A. Schrey, A. Shayter, C. J. Moss and C. Richards",Genetic and epigenetic variation in Spartina alterniflora following the Deepwater Horizon oil spill,Evolutionary Applications,2017,10,792-801,10.1111/eva.12482
332,Y,"Rodriguez-Casariego, J. A., M. C. Ladd, A. A. Shantz, C. Lopes, M. S. Cheema, B. Kim, S. B. Roberts, J. W. Fourqurean, J. Ausio, D. E. Burkepile and J. M. Eirin-Lopez",Coral epigenetic responses to nutrient stress: Histone H2A.X phosphorylation dynamics and DNA methylation in the staghorn coral Acropora cervicornis,Ecology and Evolution,2018,8,12193-12207,10.1002/ece3.4678
335,Y,"Romano, A., B. De Giorgio, M. Parolini, C. Favero, C. D. Possenti, S. Iodice, M. Caprioli, D. Rubolini, R. Ambrosini, L. Gianfranceschi, N. Saino and V. Bollati",Methylation of the circadian Clock gene in the offspring of a free-living passerine bird increases with maternal and individual exposure to PM10,Environmental Pollution,2017,220,29-37,
342,Y,"Salmon, A., M. Ainouche and J. Wendel",Genetic and epigenetic consequences of recent hybridization and polyploidy in Spartina (Poaceae),Molecular Ecology,2005,14,1163-1175,10.1111/j.1365-294X.2005.02488.x
352,Y,"Schulz, B., R. L. Eckstein and W. Durka",Epigenetic variation reflects dynamic habitat conditions in a rare floodplain herb,Molecular Ecology,2014,23,3523-3537,10.1111/mec.12835
359,Y,"Sheldon, E. L., A. Schrey, S. C. Andrew, A. Ragsdale and S. C. Griffith",Epigenetic and genetic variation among three separate introductions of the house sparrow (Passer domesticus) into Australia,Royal Soceity Open Science,2018,5,172185,
375,Y,"Somerville, V., Schwaiger, M., Hirsch, P. E., Walser, J. C., Bussmann, K., Weyrich, A.,  Adrian-Kalchhauser, I.",DNA Methylation Patterns in the Round Goby Hypothalamus Support an On-The-Spot Decision Scenario for Territorial Behavior,Genes,2019,10,doi:10.3390/genes10030219,
378,Y,"Spens, Amy E.; Douhovnikoff, Vladimir","Epigenetic variation within Phragmites australis among lineages, genotypes, and ramets",Biological Invasions,2016,18,2457-2462,10.1007/s10530-016-1223-1
382,Y,"Standage, Daniel S.; Berens, Ali J.; Glastad, Karl M.; Severin, Andrew J.; Brendel, Volker P.; Toth, Amy L.","Genome, transcriptome and methylome sequencing of a primitively eusocial wasp reveal a greatly reduced DNA methylation system in a social insect",Molecular Ecology,2016,25,1769-1784,10.1111/mec.13578
392,N,"Tamayo-Ordonez, Y. J., J. A. Narvaez-Zapata, M. C. Tamayo-Ordonez and L. F. Sanchez-Teyer",Retroelements and DNA Methylation Could Contribute to Diversity of 5S rDNA in Agave L.,Journal of Molecular Evolution,2018,86,404-423,
393,Y,"Tanabe, A., Shimizu, R., Osawa, Y., Suzuki, M., Ito, S., Goto, M.,  Sahara, H.",Age estimation by DNA methylation in the Antarctic minke whale,Fisheries Science,2020,86,35-41,
395,Y,"Thorson, J. L. M., Smithson, M., Sadler-Riggleman, I., Beck, D., Dybdahl, M., & Skinner, M. K.",Regional epigenetic variation in asexual snail populations among urban and rural lakes,Environmental Epigenetics,2019,5,,doi:10.1093/eep/dvz020
402,Y,"Vandegehuchte, M. B., F. Lemiere and C. R. Janssen",Quantitative DNA-methylation in Daphnia magna and effects of multigeneration Zn exposure,Comparative Biochemistry and Physilogy C-Toxicology & Pharmacology,2009,150,343-348,
403,Y,"Vandegehuchte, M. B., T. Kyndt, B. Vanholme, A. Haegeman, G. Gheysen and C. R. Janssen",Occurrence of DNA methylation in Daphnia magna and influence of multigeneration Cd exposure,Environmental International,2009,35,700-706,
404,Y,"Vanden Broeck, A., K. Cox, R. Brys, S. Castiglione, A. Cicatelli, F. Guarino, B. Heinze, M. Steenackers and K. Vander Mijnsbrugge","Variability in DNA Methylation and Generational Plasticity in the Lombardy Poplar, a Single Genotype Worldwide Distributed Since the Eighteenth Century",Frontiers in Plant Science,2018,9,1635,
409,Y,"Veluchamy, A., A. Rastogi, X. Lin, B. Lombard, O. Murik, Y. Thomas, F. Dingli, M. Rivarola, S. Ott, X. Liu, Y. Sun, P. D. Rabinowicz, J. McCarthy, A. E. Allen, D. Loew, C. Bowler and L. Tirichine",An integrative analysis of post-translational histone modifications in the marine diatom Phaeodactylum tricornutum,Genome Biology,2015,16,102,
412,Y,"Verhoeven, K. J. F., J. J. Jansen, P. J. van Dijk and A. Biere",Stress-induced DNA methylation changes and their heritability in asexual dandelions,New Phytologist,2010,185,1108-1118,
413,N,"Verhulst, Eveline C.; Mateman, A. Christa; Zwier, Mathijs V.; Caro, Samuel P.; Verhoeven, Koen J. F.; Van Oers, Kees",Evidence from pyrosequencing indicates that natural variation in animal personality is associated with DRD4 DNA methylation,Molecular Ecology,2016,25,1801-1811,10.1111/mec.13519
421,Y,"Volkova, P. Y., S. A. Geras'kin, N. Horemans, E. S. Makarenko, E. Saenen, G. T. Duarte, R. Nauts, V. S. Bondarenko, G. Jacobs, S. Voorspoels and M. Kudin",Chronic radiation exposure as an ecological factor: Hypermethylation and genetic differentiation in irradiated Scots pine populations,Environmental Pollution,2018,232,105-112,
432,Y,"Wenzel, Marius A.; Piertney, Stuart B.",Fine-scale population epigenetic structure in relation to gastrointestinal parasite load in red grouse (Lagopus lagopus scotica),Molecular Ecology,2014,23,4256-4273,10.1111/mec.12833
434,Y,"Weyrich, Alexandra; Lenz, Dorina; Jeschek, Marie; Tzu Hung Chung; Ruebensam, Kathrin; Goeritz, Frank; Jewgenow, Katarina; Fickel, Joerns",Paternal intergenerational epigenetic response to heat exposure in male Wild guinea pigs,Molecular Ecology,2016,25,1729-1740,10.1111/mec.13494
438,Y,"Wilschut, Rutger A.; Oplaat, Carla; Snoek, L. Basten; Kirschner, Jan; Verhoeven, Koen J. F.",Natural epigenetic variation contributes to heritable flowering divergence in a widespread asexual dandelion lineage,Molecular Ecology,2016,25,1759-1768,10.1111/mec.13502
446,Y,"Zhang, X., Q. Li, L. Kong and H. Yu",Epigenetic variation of wild populations of the Pacific oyster Crassostrea gigas determined by methylation-sensitive amplified polymorphism analysis,Fisheries Science,2018,84,61-70,
447,Y,"Zhang, X., Q. Li, L. Kong and H. Yu",DNA methylation frequency and epigenetic variability of the Pacific oyster Crassostrea gigas in relation to the gametogenesis,Fisheries Science,2018,84,789-797,
448,N,"Zhang, Y.-Y., M. Fischer, V. Colot and O. Bossdorf",Epigenetic variation creates potential for evolution of plant phenotypic plasticity,New Phytologist,2013,197,314-322,
450,N,"Zheng, X., L. Chen, H. Xia, H. Wei, Q. Lou, M. Li, T. Li and L. Luo",Transgenerational epimutations induced by multi-generation drought imposition mediate rice plant's adaptation to drought condition,Scientific Reports,2017,7,39843,
452,Y,"Zoldos, Vlatka; Birus, Ivan; Muratovic, Edina; Satovic, Zlatko; Vojta, Aleksandar; Robin, Odile; Pustahija, Fatima; Bogunic, Faruk; Bockor, Vedrana Vicic; Siljak-Yakovlev, Sonja",Epigenetic Differentiation of Natural Populations of Lilium bosniacum Associated with Contrasting Habitat Conditions,Genome Biology and Evolution,2018,10,291-303,10.1093/gbe/evy010
458,Y,"Bicho, RC; Scott-Fordsmand, JJ; Amorim, MJB","Developing an epigenetics model species-From blastula to mature adult, life cycle methylation pro file of Enchytraeus crypticus (Oligochaete)",Science of the Total Environment,2020,732,139079,
1000,Y,"Amarasinghe, Harindra E.; Clayton, Crisenthiya I.; Mallon, Eamonn B.",Methylation and worker reproduction in the bumble-bee (Bombus terrestris),Proceedings of the Royal Soceity B-Biological Sciences,2014,281,20132502,10.1098 spb.2013.2502
1001,Y,"Anastasiadi, Dafni; Piferrer, Francesc",A clockwork fish: Age prediction using DNA methylation-based biomarkers in the European seabass,Molecular Ecology Resources,2020,20,387-397,10.1111/1755-0998.13111
1002,Y,"Anastasiadi, Dafni; Shao, Changwei; Chen, Songlin; Piferrer, Francesc",Footprints of global change in marine life: Inferring past environment based on DNA methylation and gene expression marks,Molecular Ecology,2021,30,747-760,10.1111/mec.15764
1003,Y,"Artemov, Artem V.; Mugue, Nikolai S.; Rastorguev, Sergey M.; Zhenilo, Svetlana; Mazur, Alexander M.; Tsygankova, Svetlana V.; Boulygina, Eugenia S.; Kaplun, Daria; Nedoluzhko, Artem V.; Medvedeva, Yulia A.; Prokhortchouk, Egor B.",Genome-Wide DNA Methylation Profiling Reveals Epigenetic Adaptation of Stickleback to Marine and Freshwater Conditions,Molecular Biology and Evolution,2017,34,2203-2213,10.1093/molbev/msx156
1004,N,Gene Body Methylation Patterns in Daphnia Are Associated with Gene Family Size,Genome Biology and Evolution,"The relation between gene body methylation and gene function remains elusive. Yet, our understanding of this relationship can contribute significant knowledge on how and why organisms target specific gene bodies for methylation. Here, we studied gene body methylation patterns in two Daphnia species. We observed both highly methylated genes and genes devoid of methylation in a background of low global methylation levels. A small but highly significant number of genes was highly methylated in both species. Remarkably, functional analyses indicate that variation in methylation within and between Daphnia species is primarily targeted to small gene families whereas large gene families tend to lack variation. The degree of sequence similarity could not explain the observed pattern. Furthermore, a significant negative correlation between gene family size and the degree of methylation suggests that gene body methylation may help regulate gene family expansion and functional diversification of gene families leading to phenotypic variation.",2016,8,1185-1196,10.1093/gbe/evw069
1005,N,"Use of 5-azacytidine in a proof-of-concept study to evaluate the impact of pre-natal and post-natal exposures, as well as within generation persistent DNA methylation changes in Daphnia",Ecotoxicology,"Short-term exposures at critical stages of development can lead to delayed adverse effects long after the initial stressor has been removed, a concept referred to as developmental origin of adult disease. This indicates that organisms' phenotypes may epigenetically reflect their past exposure history as well as reflecting chemicals currently present in their environment. This concept has significant implications for environmental monitoring. However, there is as yet little or no implementation of epigenetics in environmental risk assessment. In a proof-of-principle study we exposed Daphnia magna to 5-azacytidine, a known DNA de-methylating agent. Exposures covered combinations of prenatal and postnatal exposures as well as different exposure durations and recovery stages. Growth, the transcription of genes and levels of metabolites involved in regulating DNA methylation, and methylation levels of several genes were measured. Our data shows that prenatal exposures caused significant changes in the methylome of target genes, indicating that prenatal stages of Daphnia are also susceptible to same level of change as post-natal stages of Daphnia. While the combination of pre- and postnatal exposures caused the most extreme reduction in DNA methylation compared to the control group. Furthermore, some of the changes in the methylation patterns were persistent even after the initial stressor was removed. Our results suggest that epigenetic biomarkers have the potential to be used as indicators of past chemical exposure history of organisms and provide strong support for implementing changes to the current regimes for chemical risk assessment to mimic realistic environmental scenarios.",2018,27,556-568,10.1007/s10646-018-1927-3
1006,N,"Baerwald, Melinda R.; Meek, Mariah H.; Stephens, Molly R.; Nagarajan, Raman P.; Goodbla, Alisha M.; Tomalty, Katharine M. H.; Thorgaard, Gary H.; May, Bernie; Nichols, Krista M.",Migration-related phenotypic divergence is associated with epigenetic modifications in rainbow trout,Molecular Ecology,2016,25,1785-1800,10.1111/mec.13231
1007,Y,"Bain, Stevie A.; Marshall, Hollie; de la Filia, Andres G.; Laetsch, Dominik R.; Husnik, Filip; Ross, Laura",Sex-specific expression and DNA methylation in a species with extreme sexual dimorphism and paternal genome elimination,Molecular Ecology,,,,10.1111/mec.15842
1008,Y,"Barreto, Deiene Rodriguez; de Leaniz, Carlos Garcia; Verspoor, Eric; Sobolewska, Halina; Coulson, Mark; Consuegra, Sofia",DNA Methylation Changes in the Sperm of Captive-Reared Fish: A Route to Epigenetic Introgression in Wild Populations,Molecular Biology and Evolution,2019,36,2205-2211,10.1093/molbev/msz135
1009,N,The effects of the neonicotinoid imiacloprid on gene expression and DNA methylation in the buff-tailed bumblebee Bombus terrestris,Proceedings of the Royal Soceity B-Biological Sciences,"Neonicotinoids are effective insecticides used on many important arable and horticultural crops. They are nicotinic acetylcholine receptor agonists which disrupt the function of insect neurons and cause paralysis and death. In addition to direct mortality, there are numerous sublethal effects of low doses of neonicotinoids on bees. We hypothesize that some of these large array of effects could be a consequence of epigenetic changes in bees induced by neonicotinoids. We compared whole methylome (BS-seal) and RNA-seal libraries of the brains of buff-tailed bumblebee Bombus terrestris workers exposed to field-realistic doses of the neonicotinoid imidacloprid to libraries from control workers. We found numerous genes which show differential expression between neonicotinoid-treated bees and control bees, but no differentially methylated cytosines in any context. We found CpG methylation to be focused mainly in exons and associated with highly expressed genes. We discuss the implications of our results for future legislation.",2019,286,20190718,10.1098 spb.2019.0718
1010,N,THE EVOLUTION OF CPNPG METHYLATION IN PLANTS,Journal of Molecular Evolution,"CpNpG and CpG methylation was surveyed in a range of vascular and nonvascular plants to determine firstly when CpNpG methylation evolved and secondly whether the two methylation systems found in higher plants were likely to be under common or separate control. Although both systems exist in a wide range of vascular plant taxa, the nonvascular plant taxa appear to contain only CpNpG methylation and this in only very limited amounts. The data suggest that both systems may have evolved at the same time and that speciation involved loss of one or the other methylation system or the evolution of differentiation stage-specific control systems.",1990,30,26-35,10.1007/BF02102450
1011,Y,"Bentz, Alexandra B.; Sirman, Aubrey E.; Wada, Haruka; Navara, Kristen J.; Hood, Wendy R.",Relationship between maternal environment and DNA methylation patterns of estrogen receptor alpha in wild Eastern Bluebird (Sialia sialis) nestlings: a pilot study,Ecology and Evolution,2016,6,4741-4752,10.1002/ece3.2162
1012,N,"Berbel-Filho, Waldir M.; Berry, Nikita; Rodriguez-Barreto, Deiene; Rodrigues Teixeira, Sofia; Garcia de Leaniz, Carlos; Consuegra, Sofia",Environmental enrichment induces intergenerational behavioural and epigenetic effects on fish,Molecular Ecology,2020,29,2288-2299,10.1111/mec.15481
1013,Y,"Berbel-Filho, Waldir M.; de Leaniz, Carlos Garcia; Moran, Paloma; Cable, Joanne; Lima, Sergio M. Q.; Consuegra, Sofia",Local parasite pressures and host genotype modulate epigenetic diversity in a mixed-mating fish,Ecology and Evolution,2019,9,8736-8748,10.1002/ece3.5426
