Reference Number,Included?,Authors,Article Title,Source Title,Publication Year,Volume,Page/Article Number,DOI
2047,N,"Chen, Zhong-Qi; Zhao, Jian-Hua; Chen, Qian; Zhang, Zhong-Hui; Li, Jie; Guo, Zhong-Xin; Xie, Qi; Ding, Shou-Wei; Guo, Hui-Shan",DNA Geminivirus Infection Induces an Imprinted E3 Ligase Gene to Epigenetically Activate Viral Gene Transcription,PLANT CELL,2020,32,3256-3272,10.1105/tpc.20.00249
2048,N,"Cheng, Feng; Sun, Chao; Wu, Jian; Schnable, James; Woodhouse, Margaret R.; Liang, Jianli; Cai, Chengcheng; Freeling, Michael; Wang, Xiaowu",Epigenetic regulation of subgenome dominance following whole genome triplication in Brassica rapa,NEW PHYTOLOGIST,2016,211,288-299,10.1111/nph.13884
2049,N,"Cheng, Jun; Wei, Guochao; Zhou, Hui; Gu, Chao; Vimolmangkang, Sornkanok; Liao, Liao; Han, Yuepeng",Unraveling the Mechanism Underlying the Glycosylation and Methylation of Anthocyanins in Peach,PLANT PHYSIOLOGY,2014,166,1044-1058,10.1104/pp.114.246876
2050,N,"Coiner, H; Schroder, G; Wehinger, E; Liu, CJ; Noel, JP; Schwab, W; Schroder, J",Methylation of sulfhydryl groups: a new function for a family of small molecule plant O-methyltransferases,PLANT JOURNAL,2006,46,193-205,10.1111/J.1365-313X.2006.02680.x
2051,N,"Cook, David E.; Bayless, Adam M.; Wang, Kai; Guo, Xiaoli; Song, Qijian; Jiang, Jiming; Bent, Andrew F.","Distinct Copy Number, Coding Sequence, and Locus Methylation Patterns Underlie Rhg1-Mediated Soybean Resistance to Soybean Cyst Nematode",PLANT PHYSIOLOGY,2014,165,630-647,10.1104/pp.114.235952
2052,N,"Correa, Regis L.; Sanz-Carbonell, Alejandro; Kogej, Zala; Muller, Sebastian Y.; Ambros, Silvia; Lopez-Gomollon, Sara; Gomez, Gustavo; Baulcombe, David C.; Elena, Santiago F.",Viral Fitness Determines the Magnitude of Transcriptomic and Epigenomic Reprograming of Defense Responses in Plants,MOLECULAR BIOLOGY AND EVOLUTION,2020,37,1866-1881,10.1093/molbev/msaa091
2053,Y,"Covelo-Soto, Lara; Saura, Maria; Moran, Paloma",Does DNA methylation regulate metamorphosis? The case of the sea lamprey (Petromyzon marinus) as an example,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,2015,185,42-46,10.1016/j.cbpb.2015.03.007
2054,N,"Creighton, Maria T.; Kolton, Anna; Kataya, Amr R. A.; Maple-Grodem, Jodi; Averkina, Irina O.; Heidari, Behzad; Lillo, Cathrine",Methylation of protein phosphatase 2AInfluence of regulators and environmental stress factors,PLANT CELL AND ENVIRONMENT,2017,40,2347-2358,10.1111/pce.13038
2055,Y,"Crotti, Marco; Yohannes, Elizabeth; Winfield, Ian J.; Lyle, Alex A.; Adams, Colin E.; Elmer, Kathryn R.",Rapid adaptation through genomic and epigenomic responses following translocations in an endangered salmonid,EVOLUTIONARY APPLICATIONS,2021,14,2470-2489,10.1111/eva.13267
2056,N,"Dabe, Emily C.; Sanford, Rachel S.; Kohn, Andrea B.; Bobkova, Yelena; Moroz, Leonid L.",DNA Methylation in Basal Metazoans: Insights from Ctenophores,INTEGRATIVE AND COMPARATIVE BIOLOGY,2015,55,1096-1110,10.1093/icb/icv086
2057,N,"De Lucia, Filomena; Gaudin, Valarie",Epigenetic control by plant Polycomb proteins: new perspectives and emerging roles in stress response,FROM PLANT GENOMICS TO PLANT BIOTECHNOLOGY,2012,,31-48,10.1533/9781908818478.31
2058,N,"de Sousa, IP; Quartau, JA; Mathias, MD","Epigenetic and morphometric divergence among black rat, Rattus rattus, populations on Western European islands",FOLIA ZOOLOGICA,2002,51,109-123,
2059,N,"Deng, Jiao; Fu, Ziyang; Chen, Sha; Damaris, Rebecca Njeri; Wang, Kun; Li, Tingting; Yang, Pingfang",Proteomic and Epigenetic Analyses of Lotus (Nelumbo nucifera) Petals Between Red and White cultivars,PLANT AND CELL PHYSIOLOGY,2015,56,1546-1555,10.1093/pcp/pcv077
2060,N,"Dheeman, Dharmendra S.; Packianathan, Charles; Pillai, Jitesh K.; Rosen, Barry P.",Pathway of Human AS3MT Arsenic Methylation,CHEMICAL RESEARCH IN TOXICOLOGY,2014,27,1979-1989,10.1021/tx500313k
2061,N,"Di, Chao; Yuan, Jiapei; Wu, Yue; Li, Jingrui; Lin, Huixin; Hu, Long; Zhang, Ting; Qi, Yijun; Gerstein, Mark B.; Guo, Yan; Lu, Zhi John","Characterization of stress-responsive lncRNAs in Arabidopsis thaliana by integrating expression, epigenetic and structural features",PLANT JOURNAL,2014,80,848-861,10.1111/tpj.12679
2062,Y,"Dimond, James L.; Roberts, Steven B.",Convergence of DNA Methylation Profiles of the Reef Coral Porites astreoides in a Novel Environment,FRONTIERS IN MARINE SCIENCE,2020,6,792,10.3389/fmars.2019.00792
2063,N,"Dolomatov, Sergey; Sataieva, Tatiana; Zukow, Walery; Kondakova, Yulia; Ramazanova, Edie",Ecological aspect of molecular mechanism of epigenetic rearrangement of humoral system of the renal function regulation,ECOLOGICAL QUESTIONS,2018,29,71-89,10.12775/EQ.2018.013
2064,N,"Dong, YZ; Liu, ZL; Dong, YS; Han, FR; He, MY; Hao, S; Liu, B",Alien DNA introgression into rice causes heritable alterations in DNA methylation patterns in an active retrotransposon Tos17,ACTA BOTANICA SINICA,2004,46,100-109,
2065,N,"Dong, Z. Y.; Wang, Y. M.; Zhang, Z. J.; Shen, Y.; Lin, X. Y.; Ou, X. F.; Han, F. P.; Liu, B.",Extent and pattern of DNA methylation alteration in rice lines derived from introgressive hybridization of rice and Zizania latifolia Griseb,THEORETICAL AND APPLIED GENETICS,2006,113,196-205,10.1007/s00122-006-0286-2
2066,N,"Douhovnikoff, Vladimir; Dodd, Richard S.",Epigenetics: a potential mechanism for clonal plant success,PLANT ECOLOGY,2015,216,227-233,10.1007/s11258-014-0430-z
2067,N,"Du, Hui; Wu, Jie; Ji, Kui-Xian; Zeng, Qing-Yin; Bhuiya, Mohammad-Wadud; Su, Shang; Shu, Qing-Yan; Ren, Hong-Xu; Liu, Zheng-An; Wang, Liang-Sheng","Methylation mediated by an anthocyanin, O-methyltransferase, is involved in purple flower coloration in Paeonia",JOURNAL OF EXPERIMENTAL BOTANY,2015,66,6563-6577,10.1093/jxb/erv365
2068,N,"Du, Miru; Luo, Ming; Zhang, Ruofang; Finnegan, E. Jean; Koltunow, Anna M. G.",Imprinting in rice: the role of DNA and histone methylation in modulating parent-of-origin specific expression and determining transcript start sites,PLANT JOURNAL,2014,79,232-242,10.1111/tpj.12553
2069,N,"Duclos, Kevin K.; Hendrikse, Jesse L.; Jamniczky, Heather A.",Investigating the evolution and development of biological complexity under the framework of epigenetics,EVOLUTION & DEVELOPMENT,2019,21,e12301,10.1111/ede.12301
2070,N,"Dukler, Noah; Huang, Yi-Fei; Siepel, Adam",Phylogenetic Modeling of Regulatory Element Turnover Based on Epigenomic Data,MOLECULAR BIOLOGY AND EVOLUTION,2020,37,2137-2152,10.1093/molbev/msaa073
2071,N,"Duszynska, Dorota; McKeown, Peter C.; Juenger, Thomas E.; Pietraszewska-Bogiel, Anna; Geelen, Danny; Spillane, Charles",Gamete fertility and ovule number variation in selfed reciprocal F1 hybrid triploid plants are heritable and display epigenetic parent-of-origin effects,NEW PHYTOLOGIST,2013,198,71-81,10.1111/nph.12147
2072,N,"El Baidouri, Moaine; Do Kim, Kyung; Abernathy, Brian; Li, Ying-Hui; Qiu, Li-Juan; Jackson, Scott A.",Genic C-Methylation in Soybean Is Associated with Gene Paralogs Relocated to Transposable Element-Rich Pericentromeres,MOLECULAR PLANT,2018,11,485-495,10.1016/j.molp.2018.02.006
2073,N,"Eun, Chang-Ho; Takagi, Kyoko; Park, Kyeung-Il; Maekawa, Masahiko; Iida, Shigeru; Tsugane, Kazuo",Activation and Epigenetic Regulation of DNA Transposon nDart1 in Rice,PLANT AND CELL PHYSIOLOGY,2012,53,857-868,10.1093/pcp/pcs060
2074,N,"Fan, Xiao; Han, Wentao; Teng, Linhong; Jiang, Peng; Zhang, Xiaowen; Xu, Dong; Li, Chang; Pellegrini, Matteo; Wu, Chunhui; Wang, Yitao; Kaczurowski, Michelle Joyce Slade; Lin, Xin; Tirichine, Leila; Mock, Thomas; Ye, Naihao",Single-base methylome profiling of the giant kelp Saccharina japonica reveals significant differences in DNA methylation to microalgae and plants,NEW PHYTOLOGIST,2020,225,234-249,10.1111/nph.16125
2075,N,"Fang, J-G.; Song, C-N.; Qian, J-L.; Zhang, X-Y.; Shangguan, L-F.; Yu, H-P.; Wang, X-C.",Variation of cytosine methylation in 57 sweet orange cultivars,ACTA PHYSIOLOGIAE PLANTARUM,2010,32,1023-1030,10.1007/s11738-010-0491-0
2077,N,"Fedoroff, Nina V.",Molecular Genetics and Epigenetics of CACTA Elements,PLANT TRANSPOSABLE ELEMENTS: METHODS AND PROTOCOLS,2013,1057,177-192,10.1007/978-1-62703-568-2_13
2078,N,"Feil, Robert",Environmental and nutritional effects on the epigenetic regulation of genes,MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,2006,600,46-57,10.1016/j.mrfmmm.2006.05.029
2079,N,"Fellous, Alexandre; Shama, Lisa N. S.",Genome Survey of Chromatin-Modifying Enzymes in Threespine Stickleback: A Crucial Epigenetic Toolkit for Adaptation?,FRONTIERS IN MARINE SCIENCE,2019,6,721,10.3389/fmars.2019.00721
2080,N,"Fernandez i Marti, Angel; Gradziel, Thomas M.; Socias i Company, Rafel",Methylation of the S (f) locus in almond is associated with S-RNase loss of function,PLANT MOLECULAR BIOLOGY,2014,86,681-689,10.1007/s11103-014-0258-x
2081,N,"Ferrari, Michele; Torelli, Anna; Marieschi, Matteo; Cozza, Radiana",Role of DNA methylation in the chromium tolerance of Scenedesmus acutus (Chlorophyceae) and its impact on the sulfate pathway regulation,PLANT SCIENCE,2020,301,110680,10.1016/j.plantsci.2020.110680
2082,N,"Flores, Kevin B.; Wolschin, Florian; Amdam, Gro V.",The Role of Methylation of DNA in Environmental Adaptation,INTEGRATIVE AND COMPARATIVE BIOLOGY,2013,53,359-372,10.1093/icb/ict019
2083,N,"Fonager, Jannik; Cunningham, Deirdre; Jarra, William; Koernig, Sandra; Henneman, Alex A.; Langhorne, Jean; Preiser, Peter",Transcription and alternative splicing in the yir multigene family of the malaria parasite Plasmodium y. yoelii: Identification of motifs suggesting epigenetic and post-transcriptional control of RNA expression,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,2007,156,11-Jan,10.1016/j.molbiopara.2007.06.006
2084,N,"Fraga, Hugo P. F.; Vieira, Leila N.; Heringer, Angelo S.; Puttkammer, Catarina C.; Silveira, Vanildo; Guerra, Miguel P.",DNA methylation and proteome profiles of Araucaria angustifolia (Bertol.) Kuntze embryogenic cultures as affected by plant growth regulators supplementation,PLANT CELL TISSUE AND ORGAN CULTURE,2016,125,353-374,10.1007/s11240-016-0956-y
2085,N,"Fraschka, Sabine A.; Filarsky, Michael; Hoo, Regina; Niederwieser, Igor; Yam, Xue Yan; Brancucci, Nicolas M. B.; Mohring, Franziska; Mushunje, Annals T.; Huang, Ximei; Christensen, Peter R.; Nosten, Francois; Bozdech, Zbynek; Russell, Bruce; Moon, Robert W.; Marti, Matthias; Preiser, Peter R.; Bartfai, Richard; Voss, Till S.",Comparative Heterochromatin Profiling Reveals Conserved and Unique Epigenome Signatures Linked to Adaptation and Development of Malaria Parasites,CELL HOST & MICROBE,2018,23,407-420,10.1016/j.chom.2018.01.008
2086,N,"Fraune, Sebastian; Foret, Sylvain; Reitzel, Adam M.","Using Nematostella vectensis to Study the Interactions between Genome, Epigenome, and Bacteria in a Changing Environment",FRONTIERS IN MARINE SCIENCE,2016,3,148,10.3389/fmars.2016.00148
2087,N,"Fuentes, Eduardo N.; Zuloaga, Rodrigo; Nardocci, Gino; Fernandez de la Reguera, Catalina; Simonet, Nicolas; Fumeron, Robinson; Antonio Valdes, Juan; Molina, Alfredo; Alvarez, Marco",Skeletal muscle plasticity induced by seasonal acclimatization in carp involves differential expression of rRNA and molecules that epigenetically regulate its synthesis,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,2014,172,57-66,10.1016/j.cbpb.2014.04.005
2088,N,"Fujino, Kenji; Sekiguchi, Hiroshi",Site specific cytosine methylation in rice nonautonomous transposable element nDart,PLANT MOLECULAR BIOLOGY,2008,67,511-518,10.1007/s11103-008-9335-3
2089,N,"Fukai, Eigo; Stougaard, Jens; Hayashi, Makoto",Activation of an Endogenous Retrotransposon Associated with Epigenetic Changes in Lotus japonicus: A Tool for Functional Genomics in Legumes,PLANT GENOME,2013,6,,10.3835/plantgenome2013.04.0009
2090,N,"Galbraith, David A.; Yang, Xingyu; Nino, Elina Lastro; Yi, Soojin; Grozinger, Christina",Parallel Epigenomic and Transcriptomic Responses to Viral Infection in Honey Bees (Apis mellifera),PLOS PATHOGENS,2015,11,e1004713,10.1371/journal.ppat.1004713
2091,N,"Ganguly, Diep R.; Crisp, Peter A.; Eichten, Steven R.; Pogson, Barry J.",The Arabidopsis DNA Methylome Is Stable under Transgenerational Drought Stress,PLANT PHYSIOLOGY,2017,175,1893-1912,10.1104/pp.17.00744
2092,N,"Gao, Caiyun; Deng, Miao; Yang, Xiaoming; Yu, Wanwen; Cai, Jinfeng; Shi, Yuanbao; Zhu, Zhibo; Zhou, Tingting; Xue, Liangjiao; Cao, Fuliang; Wang, Guibin; Fu, Fang-Fang",Genome-Wide Identification and Coexpression Network Analysis of DNA Methylation Pathway Genes and Their Differentiated Functions in Ginkgo biloba L.,FORESTS,2020,11,1076,10.3390/f11101076
2093,Y,"Gao, Lexuan; Geng, Yupeng; Li, Bo; Chen, Jiakuan; Yang, Ji",Genome-wide DNA methylation alterations of Alternanthera philoxeroides in natural and manipulated habitats: implications for epigenetic regulation of rapid responses to environmental fluctuation and phenotypic variation,PLANT CELL AND ENVIRONMENT,2010,33,1820-1827,10.1111/j.1365-3040.2010.02186.x
2094,N,"Gao, Lihong; Diarso, Moussa; Zhang, Ai; Zhang, Huakun; Dong, Yuzhu; Liu, Lixia; Lv, Zhenling; Liu, Bao",Heritable alteration of DNA methylation induced by whole-chromosome aneuploidy in wheat,NEW PHYTOLOGIST,2016,209,364-375,10.1111/nph.13595
2095,N,"Gao, Rui; Das, Benu Brata; Chatterjee, Raghunath; Abaan, Ogan D.; Agama, Keli; Matuo, Renata; Vinson, Charles; Meltzer, Paul S.; Pommier, Yves",Epigenetic and genetic inactivation of tyrosyl-DNA-phosphodiesterase 1 (TDP1) in human lung cancer cells from the NCI-60 panel,DNA REPAIR,2014,13,9-Jan,10.1016/j.dnarep.2013.09.001
2096,Y,"Garcia-Vernet, Raquel; Martin, Berta; Peinado, Miguel A.; Vikingsson, Gisli; Riutort, Marta; Aguilar, Alex","CpG methylation frequency of TET2, GRIA2, and CDKN2A genes in the North Atlantic fin whale varies with age and between populations",MARINE MAMMAL SCIENCE,2021,37,1230-1244,10.1111/mms.12808
2097,Y,"Garcia, Mark J.; Rodriguez-Brenes, Sofia; Kobisk, Ashley; Adler, Laurie; Ryan, Michael J.; Taylor, Ryan C.; Hunter, Kimberly L.",Epigenomic changes in the tungara frog (Physalaemus pustulosus): possible effects of introduced fungal pathogen and urbanization,EVOLUTIONARY ECOLOGY,2019,33,671-686,10.1007/s10682-019-10001-8
2098,N,"Garcia, Sonia; Khaitova, Lucie Crhak; Kovarik, Ales","Expression of 5 S rRNA genes linked to 35 S rDNA in plants, their epigenetic modification and regulatory element divergence",BMC PLANT BIOLOGY,2012,12,95,10.1186/1471-2229-12-95
2099,Y,"Gaspar, Bence; Bossdorf, Oliver; Durka, Walter","Structure, stability and ecological significance of natural epigenetic variation: a large-scale survey in Plantago lanceolata",NEW PHYTOLOGIST,2019,221,1585-1596,10.1111/nph.15487
2100,N,"Gautam, Mayank; Dang, Yanwei; Ge, Xianhong; Shao, Yujiao; Li, Zaiyun",Genetic and Epigenetic Changes in Oilseed Rape (Brassica napus L.) Extracted from Intergeneric Allopolyploid and Additions with Orychophragmus,FRONTIERS IN PLANT SCIENCE,2016,7,438,10.3389/fpls.2016.00438
2102,N,"Genau, Anne C.; Li, Zhanghai; Renzaglia, Karen S.; Pozo, Noe Fernandez; Nogue, Fabien; Haas, Fabian B.; Wilhelmsson, Per K., I; Ullrich, Kristian K.; Schreiber, Mona; Meyberg, Rabea; Grosche, Christopher; Rensing, Stefan A.",HAG1 and SWI3A/B control of male germ line development in P. patens suggests conservation of epigenetic reproductive control across land plants,PLANT REPRODUCTION,2021,34,149-173,10.1007/s00497-021-00409-0
2103,N,"Geng, Y.; Gao, L.; Yang, J.",Epigenetic Flexibility Underlying Phenotypic Plasticity,PROGRESS IN BOTANY 74,2013,74,153-163,10.1007/978-3-642-30967-0_5
2104,N,"Geyer, Kathrin K.; Niazi, Umar H.; Duval, David; Cosseau, Celine; Tomlinson, Chad; Chalmers, Iain W.; Swain, Martin T.; Cutress, David J.; Bickham-Wright, Utibe; Munshi, Sabrina E.; Grunau, Christoph; Yoshino, Timothy P.; Hoffmann, Karl F.","The Biomphalaria glabrata DNA methylation machinery displays spatial tissue expression, is differentially active in distinct snail populations and is modulated by interactions with Schistosoma mansoni",PLOS NEGLECTED TROPICAL DISEASES,2017,11,e0005246,10.1371/journal.pntd.0005246
2105,N,"Gijzen, Mark; Ishmael, Chelsea; Shrestha, Sirjana D.",Epigenetic control of effectors in plant pathogens,FRONTIERS IN PLANT SCIENCE,2014,5,638,10.3389/fpls.2014.00638
2106,N,"Gissot, Mathieu; Kelly, Krystyna A.; Ajioka, James W.; Greally, John M.; Kim, Kami",Epigenomic modifications predict active promoters and gene structure in Toxoplasma gondii,PLOS PATHOGENS,2007,3,e77,10.1371/journal.ppat.0030077
2107,N,"Glastad, K. M.; Hunt, B. G.; Goodisman, M. A. D.",Evidence of a conserved functional role for DNA methylation in termites,INSECT MOLECULAR BIOLOGY,2013,22,143-154,10.1111/imb.12010
2108,N,"Gong, Lu; Cui, Feng; Sheng, Changzhong; Lin, Zhe; Reeck, Gerald; Xu, Jichen; Kang, Le",Polymorphism and Methylation of Four Genes Expressed in Salivary Glands of Russian Wheat Aphid (Homoptera: Aphididae),JOURNAL OF ECONOMIC ENTOMOLOGY,2012,105,232-241,10.1603/EC11289
2109,Y,"Gonzalez-Romero, Rodrigo; Suarez-Ulloa, Victoria; Rodriguez-Casariego, Javier; Garcia-Souto, Daniel; Diaz, Gabriel; Smith, Abraham; Pasantes, Juan Jose; Rand, Gary; Eirin-Lopez, Jose M.",Effects of Florida Red Tides on histone variant expression and DNA methylation in the Eastern oyster Crassostrea virginica,AQUATIC TOXICOLOGY,2017,186,196-204,10.1016/j.aquatox.2017.03.006
2110,N,"Gonzalez, A. I.; Saiz, A.; Acedo, A.; Ruiz, M. L.; Polanco, C.",Analysis of genomic DNA methylation patterns in regenerated and control plants of rye (Secale cereale L.),PLANT GROWTH REGULATION,2013,70,227-236,10.1007/s10725-013-9794-7
2111,N,"Grafi, Gideon",A mille-feuilles of stress tolerance in the desert plant Zygophyllum dumosum Boiss.: Highlighting epigenetics,ISRAEL JOURNAL OF PLANT SCIENCES,2019,66,52-59,10.1163/22238980-00001048
2112,N,"Grativol, Clicia; Regulski, Michael; Bertalan, Marcelo; McCombie, W. Richard; da Silva, Felipe Rodrigues; Zerlotini Neto, Adhemar; Vicentini, Renato; Farinelli, Laurent; Hemerly, Adriana Silva; Martienssen, Robert A.; Gomes Ferreira, Paulo Cavalcanti",Sugarcane genome sequencing by methylation filtration provides tools for genomic research in the genus Saccharum,PLANT JOURNAL,2014,79,162-172,10.1111/tpj.12539
2113,N,"Greenspoon, Philip B.; Spencer, Hamish G.",The evolution of epigenetically mediated adaptive transgenerational plasticity in a subdivided population,EVOLUTION,2018,72,2773-2780,10.1111/evo.13619
2114,N,"Guerrero-Bosagna, C; Sabat, P; Valladares, L",Environmental signaling and evolutionary change: can exposure of pregnant mammals to environmental estrogens lead to epigenetically induced evolutionary changes in embryos?,EVOLUTION & DEVELOPMENT,2005,7,341-350,10.1111/j.1525-142X.2005.05033.x
2115,Y,"Guo, Wanli; Hussain, Nazim; Wu, Rui; Liu, Bao",High hypomethylation and epigenetic variation in fragmented populations of wild barley (Hordeum brevisubulatum),PAKISTAN JOURNAL OF BOTANY,2018,50,1379-1386,
2116,N,"Guo, Xiang; Han, Fangpu",Asymmetric Epigenetic Modification and Elimination of rDNA Sequences by Polyploidization in Wheat,PLANT CELL,2014,26,4311-4327,10.1105/tpc.114.129841
2117,N,"Gupta, Archana P.; Bozdech, Zbynek","Epigenetic landscapes underlining global patterns of gene expression in the human malaria parasite, Plasmodium falciparum",INTERNATIONAL JOURNAL FOR PARASITOLOGY,2017,47,399-407,10.1016/j.ijpara.2016.10.008
2118,N,"Guyon, Anais; Smith, Kirsty F.; Charry, Maria P.; Champeau, Olivier; Tremblay, Louis A.",Effects of chronic exposure to benzophenone and diclofenac on DNA methylation levels and reproductive success in a marine copepod,JOURNAL OF XENOBIOTICS,2018,8,7674,10.4081/xeno.2018.7674
2119,N,"Hanson, Haley E.; Koussayer, Bilal; Kilvitis, Holly J.; Schrey, Aaron W.; Maddox, J. Dylan; Martin, Lynn B.",Epigenetic Potential in Native and Introduced Populations of House Sparrows (Passer domesticus),INTEGRATIVE AND COMPARATIVE BIOLOGY,2020,60,1458-1468,10.1093/icb/icaa060
2120,N,"Hanson, Mark A.; Skinner, Michael K.",Developmental origins of epigenetic transgenerational inheritance,ENVIRONMENTAL EPIGENETICS,2016,2,dvw002,10.1093/eep/dvw002
2121,N,"Haque, Nazmul; Nishiguchi, Masamichi",Bisulfite Sequencing for Cytosine-Methylation Analysis in Plants,RNAI AND PLANT GENE FUNCTION ANALYSIS: METHODS AND PROTOCOLS,2011,744,187-197,10.1007/978-1-61779-123-9_13
2122,N,"Harding, K",The methylation status of DNA-derived from potato plants recovered from slow growth,PLANT CELL TISSUE AND ORGAN CULTURE,1994,37,31-38,10.1007/BF00048114
2123,N,"Harony, H; Bernes, S; Siman-Tov, R; Ankri, S",DNA methylation and targeting of LINE retrotransposons in Entamoeba histolytica and Entamoeba invadens,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,2006,147,55-63,10.1016/j.molbiopara.2006.02.005
2124,N,"Haun, William J.; Laoueille-Duprat, Sylvia; O'Connell, Mary J.; Spillane, Charles; Grossniklaus, Ueli; Phillips, Allison R.; Kaeppler, Shawn M.; Springer, Nathan M.","Genomic imprinting, methylation and molecular evolution of maize Enhancer of zeste (Mez) homologs",PLANT JOURNAL,2007,49,325-337,10.1111/j.1365-313X.2006.02965.x
2125,N,"Hayashi, Yoshinobu; Maekawa, Kiyoto; Nalepa, Christine A.; Miura, Toru; Shigenobu, Shuji",Transcriptome sequencing and estimation of DNA methylation level in the subsocial wood-feeding cockroach Cryptocercus punctulatus (Blattodea: Cryptocercidae),APPLIED ENTOMOLOGY AND ZOOLOGY,2017,52,643-651,10.1007/s13355-017-0519-7
2126,N,"He, Ping; Cheng, Lailiang; Li, Huifeng; Wang, Haibo; Li, Linguang",A Comparative Analysis of DNA Methylation in Diploid and Tetraploid Apple (Malus x domestica Borkh.),CZECH JOURNAL OF GENETICS AND PLANT BREEDING,2017,53,63-68,10.17221/55/2016-CJGPB
2127,N,"Head, Jessica A.",Patterns of DNA Methylation in Animals: An Ecotoxicological Perspective,INTEGRATIVE AND COMPARATIVE BIOLOGY,2014,54,77-86,10.1093/icb/icu025
2128,N,"Helm, JW; German, RZ",The epigenetic impact of weaning on craniofacial morphology during growth,JOURNAL OF EXPERIMENTAL ZOOLOGY,1996,276,243-253,10.1002/(SICI)1097-010X(19961101)276:4<243::AID-JEZ1>3.0.CO;2-O
2130,N,"Herrera, Carlos M.; Bazaga, Pilar",Epigenetic differentiation and relationship to adaptive genetic divergence in discrete populations of the violet Viola cazorlensis,NEW PHYTOLOGIST,2010,187,867-876,10.1111/j.1469-8137.2010.03298.x
2131,Y,"Herrera, Carlos M.; Medrano, Monica; Bazaga, Pilar","Comparative epigenetic and genetic spatial structure of the perennial herb Helleborus foetidus: Isolation by environment, isolation by distance, and functional trait divergence",AMERICAN JOURNAL OF BOTANY,2017,104,1195-1204,10.3732/ajb.1700162
2132,N,"Herring, SW",Formation of the vertebrate face - Epigenetic and functional influences,AMERICAN ZOOLOGIST,1993,33,472-483,10.1093/icb/33.4.472
2133,N,"Hill, Richard W.; Wyse, Gordon A.; Anderson, Margaret",Physiological Development and Epigenetics,"ANIMAL PHYSIOLOGY, THIRD EDITION",2012,,85-97,
2134,N,"Ho, Dao H.",Transgenerational Epigenetics: The Role of Maternal Effects in Cardiovascular Development,INTEGRATIVE AND COMPARATIVE BIOLOGY,2014,54,43-51,10.1093/icb/icu031
2135,N,"Hu, Yongfeng; Zhu, Ning; Wang, Xuemin; Yi, Qingping; Zhu, Deyan; Lai, Yan; Zhao, Yu",Analysis of rice Snf2 family proteins and their potential roles in epigenetic regulation,PLANT PHYSIOLOGY AND BIOCHEMISTRY,2013,70,33-42,10.1016/j.plaphy.2013.05.001
2136,N,"Hu, Zhaorong; Han, Zongfu; Song, Na; Chai, Lingling; Yao, Yingyin; Peng, Huiru; Ni, Zhongfu; Sun, Qixin",Epigenetic modification contributes to the expression divergence of three TaEXPA1 homoeologs in hexaploid wheat (Triticum aestivum),NEW PHYTOLOGIST,2013,197,1344-1352,10.1111/nph.12131
2137,N,"Huang, Guiyun; Cao, Jianmeng; Gao, Fengying; Liu, Zhigang; Lu, Maixin; Chen, Gang","R-spondin1 in loath (Misgurnus anguillicaudatus): Identification, characterization, and analysis of its expression patterns and DNA methylation in response to high-temperature stress",COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,2021,254,110569,10.1016/j.cbpb.2021.110569
2139,N,"Hunt, Brendan G.; Glastad, Karl M.; Yi, Soojin V.; Goodisman, Michael A. D.",The Function of Intragenic DNA Methylation: Insights from Insect Epigenomes,INTEGRATIVE AND COMPARATIVE BIOLOGY,2013,53,319-328,10.1093/icb/ict003
2140,N,"Husby, Arild",On the Use of Blood Samples for Measuring DNA Methylation in Ecological Epigenetic Studies,INTEGRATIVE AND COMPARATIVE BIOLOGY,2020,60,1558-1566,10.1093/icb/icaa123
2141,N,"Ichiyanagi, Tomoko; Katoh, Hirokazu; Mori, Yoshinobu; Hirafuku, Keigo; Boyboy, Beverly Ann; Kawase, Masaki; Ichiyanagi, Kenji",B2 SINE Copies Serve as a Transposable Boundary of DNA Methylation and histone Modifications in the Mouse,MOLECULAR BIOLOGY AND EVOLUTION,2021,38,2380-2395,10.1093/molbev/msab033
2142,N,"Ikeda, Yoko; Nishihama, Ryuichi; Yamaoka, Shohei; Arteaga-Vazquez, Mario A.; Aguilar-Cruz, Adolfo; Grimanelli, Daniel; Pogorelcnik, Romain; Martienssen, Robert A.; Yamato, Katsuyuki T.; Kohchi, Takayuki; Hirayama, Takashi; Mathieu, Olivier",Loss of CG Methylation in Marchantia polymorpha Causes Disorganization of Cell Division and Reveals Unique DNA Methylation Regulatory Mechanisms of Non-CG Methylation,PLANT AND CELL PHYSIOLOGY,2018,59,2421-2431,10.1093/pcp/pcy161
